src,url,license
hf,https://huggingface.co/datasets/PKU-Alignment/BeaverTails,CC-BY-NC-4.0
hf,https://huggingface.co/datasets/PKU-Alignment/PKU-SafeRLHF,CC-BY-NC-4.0
hf,https://huggingface.co/datasets/cais/wmdp,MIT
hf,https://huggingface.co/datasets/LibrAI/do-not-answer,CC-BY-NC-SA-4.0
web,https://raw.githubusercontent.com/paul-rottger/xstest/main/xstest_prompts.csv,CC-BY-4.0
hf,https://huggingface.co/datasets/toxigen/toxigen-data,
hf,https://huggingface.co/datasets/sorry-bench/sorry-bench-202503,SORRY-Bench
hf,https://huggingface.co/datasets/ScaleAI/fortress_public,CC-BY-4.0
hf,https://huggingface.co/datasets/microsoft/PatientSafetyBench,CDLA-Permissive-2.0
gh,https://github.com/mlcommons/ailuminate,CC-BY-4.0
hf,https://huggingface.co/datasets/stanford-crfm/air-bench-2024,CC-BY-4.0
gh,https://github.com/Babelscape/ALERT,CC-BY-NC-SA-4.0
hf,https://huggingface.co/datasets/CohereLabs/aya_redteaming,Apache-2.0
hf,https://huggingface.co/datasets/ScaleAI/ROK-FORTRESS_public,CC-BY-4.0
